no,provinsi,kabupaten/kota,tahun,total_gangguan_jiwa,jumlah_penduduk,jiwa_TPT
189,JAWA BARAT,KOTA BANJAR,2020,98,205482,13829
190,JAWA BARAT,KABUPATEN BOGOR,2021,26198,5327131,523124
191,JAWA BARAT,KABUPATEN SUKABUMI,2021,57946,2708966,331036
192,JAWA BARAT,KABUPATEN CIANJUR,2021,54066,2437838,231838
193,JAWA BARAT,KABUPATEN BANDUNG,2021,41352,3633437,338636
194,JAWA BARAT,KABUPATEN GARUT,2021,7262,2628725,218710
195,JAWA BARAT,KABUPATEN TASIKMALAYA,2021,13084,1865898,161960
196,JAWA BARAT,KABUPATEN CIAMIS,2021,851,1263198,77813
197,JAWA BARAT,KABUPATEN KUNINGAN,2021,7326,1198814,60660
198,JAWA BARAT,KABUPATEN CIREBON,2021,161342,2365048,276238
199,JAWA BARAT,KABUPATEN MAJALENGKA,2021,28714,1323854,137416
200,JAWA BARAT,KABUPATEN SUMEDANG,2021,4019,1165047,66524
201,JAWA BARAT,KABUPATEN INDRAMAYU,2021,24060,1885172,173059
202,JAWA BARAT,KABUPATEN SUBANG,2021,26617,1596179,132483
203,JAWA BARAT,KABUPATEN PURWAKARTA,2021,1022,1001338,97831
204,JAWA BARAT,KABUPATEN KARAWANG,2021,102585,2406895,257538
205,JAWA BARAT,KABUPATEN BEKASI,2021,25053,3022787,357596
206,JAWA BARAT,KABUPATEN BANDUNG BARAT,2021,4561,1780767,179679
207,JAWA BARAT,KABUPATEN PANGANDARAN,2021,5495,432599,50398
208,JAWA BARAT,KOTA BOGOR,2021,28803,1091396,35470
209,JAWA BARAT,KOTA SUKABUMI,2021,25776,353631,41693
210,JAWA BARAT,KOTA BANDUNG,2021,41000,2527854,272503
211,JAWA BARAT,KOTA CIREBON,2021,32785,343667,39384
212,JAWA BARAT,KOTA BEKASI,2021,27511,2468448,259928
213,JAWA BARAT,KOTA DEPOK,2021,55096,1893321,205993
214,JAWA BARAT,KOTA CIMAHI,2021,12489,560746,54729
215,JAWA BARAT,KOTA TASIKMALAYA,2021,6370,731606,95621
216,JAWA BARAT,KOTA BANJAR,2021,288,205732,15759
217,JAWA BARAT,KABUPATEN BOGOR,2022,26198,5473476,454846
218,JAWA BARAT,KABUPATEN SUKABUMI,2022,43948,2762500,293930
219,JAWA BARAT,KABUPATEN CIANJUR,2022,52598,2506384,194746
220,JAWA BARAT,KABUPATEN BANDUNG,2022,40383,3708344,311872
221,JAWA BARAT,KABUPATEN GARUT,2022,20681,2759490,192612
222,JAWA BARAT,KABUPATEN TASIKMALAYA,2022,13557,1939683,147416
223,JAWA BARAT,KABUPATEN CIAMIS,2022,851,1267878,52871
224,JAWA BARAT,KABUPATEN KUNINGAN,2022,6525,1218332,45687
225,JAWA BARAT,KABUPATEN CIREBON,2022,190799,2411302,236549
226,JAWA BARAT,KABUPATEN MAJALENGKA,2022,17338,1340016,108675
227,JAWA BARAT,KABUPATEN SUMEDANG,2022,3806,1187620,49405
228,JAWA BARAT,KABUPATEN INDRAMAYU,2022,24060,1912850,147672
229,JAWA BARAT,KABUPATEN SUBANG,2022,13313,1618380,105033
230,JAWA BARAT,KABUPATEN PURWAKARTA,2022,0,1020994,79331
231,JAWA BARAT,KABUPATEN KARAWANG,2022,77504,2509839,219611
232,JAWA BARAT,KABUPATEN BEKASI,2022,64697,3147268,310635
233,JAWA BARAT,KABUPATEN BANDUNG BARAT,2022,4561,1826946,188358
234,JAWA BARAT,KABUPATEN PANGANDARAN,2022,5495,436748,42059
235,JAWA BARAT,KOTA BOGOR,2022,28784,1114018,17379
236,JAWA BARAT,KOTA SUKABUMI,2022,9448,358854,38684
237,JAWA BARAT,KOTA BANDUNG,2022,47994,2545005,224724
238,JAWA BARAT,KOTA CIREBON,2022,33828,346438,33085
239,JAWA BARAT,KOTA BEKASI,2022,27511,2486251,209342
240,JAWA BARAT,KOTA DEPOK,2022,66725,1920182,169168
241,JAWA BARAT,KOTA CIMAHI,2022,3505,566537,44303
242,JAWA BARAT,KOTA TASIKMALAYA,2022,6370,746710,80421
243,JAWA BARAT,KOTA BANJAR,2022,288,207625,13745
244,JAWA BARAT,KABUPATEN BOGOR,2023,37349,5558885,413581
245,JAWA BARAT,KABUPATEN SUKABUMI,2023,16003,2790320,236340
246,JAWA BARAT,KABUPATEN CIANJUR,2023,52598,2535002,185562
247,JAWA BARAT,KABUPATEN BANDUNG,2023,29090,3749172,289061
248,JAWA BARAT,KABUPATEN GARUT,2023,20681,2753949,179557
249,JAWA BARAT,KABUPATEN TASIKMALAYA,2023,9997,1958221,143538
250,JAWA BARAT,KABUPATEN CIAMIS,2023,15103,1281201,49839
251,JAWA BARAT,KABUPATEN KUNINGAN,2023,18766,1231772,43358
252,JAWA BARAT,KABUPATEN CIREBON,2023,35293,2437899,231357
253,JAWA BARAT,KABUPATEN MAJALENGKA,2023,42537,1354803,103642
254,JAWA BARAT,KABUPATEN SUMEDANG,2023,3121,1205685,49674
255,JAWA BARAT,KABUPATEN INDRAMAYU,2023,17989,1933948,134216
256,JAWA BARAT,KABUPATEN SUBANG,2023,9987,1636233,105701
257,JAWA BARAT,KABUPATEN PURWAKARTA,2023,1404,1036768,79313
258,JAWA BARAT,KABUPATEN KARAWANG,2023,9531,2539381,196040
259,JAWA BARAT,KABUPATEN BEKASI,2023,25002,3197006,286132
260,JAWA BARAT,KABUPATEN BANDUNG BARAT,2023,4561,1847096,163837
261,JAWA BARAT,KABUPATEN PANGANDARAN,2023,1325,442205,35863
262,JAWA BARAT,KOTA BOGOR,2023,21270,1127408,17137
263,JAWA BARAT,KOTA SUKABUMI,2023,13546,364912,34265
264,JAWA BARAT,KOTA BANDUNG,2023,37310,2569107,219145
265,JAWA BARAT,KOTA CIREBON,2023,35922,352347,31112
266,JAWA BARAT,KOTA BEKASI,2023,21491,2513669,192547
267,JAWA BARAT,KOTA DEPOK,2023,51000,1941360,153367
268,JAWA BARAT,KOTA CIMAHI,2023,29298,575519,40114
269,JAWA BARAT,KOTA TASIKMALAYA,2023,24071,757815,79722
270,JAWA BARAT,KOTA BANJAR,2023,5320,208309,13644
